table1
Company,links,code,group
20 Microns Ltd.,//money.rediff.com/companies/20-Microns-Ltd/15110088,533022,B
3i Infotech Ltd.,//money.rediff.com/companies/3i-Infotech-Ltd/13190098,532628,B
3M India Ltd.,//money.rediff.com/companies/3M-India-Ltd/17010019,523395,A
3P Land Holdings Ltd.,//money.rediff.com/companies/3P-Land-Holdings-Ltd/11070110,516092,B
52 Weeks Entertainment Ltd.,//money.rediff.com/companies/52-Weeks-Entertainment-Ltd/11110067,531925,XT
5Paisa Capital Ltd.,//money.rediff.com/companies/5Paisa-Capital-Ltd/14010689,540776,B
63 Moons Technologies Ltd.,//money.rediff.com/companies/63-Moons-Technologies-Ltd/13030007,526881,B
7NR Retail Ltd.,//money.rediff.com/companies/7NR-Retail-Ltd/16070229,540615,B
7Seas Entertainment Ltd.,//money.rediff.com/companies/7Seas-Entertainment-Ltd/13191556,540874,Z
8K Miles Software Services Ltd.,//money.rediff.com/companies/8K-Miles-Software-Services-Ltd/17020538,512161,Z
A & M Febcon Ltd.,//money.rediff.com/companies/A-M-Febcon-Ltd/15990123,540697,M
A F Enterprises Ltd.,//money.rediff.com/companies/A-F-Enterprises-Ltd/17027792,538351,XT
A Infrastructure Ltd.,//money.rediff.com/companies/A-Infrastructure-Ltd/11520050,539620,XT
A-1 Acid Ltd.,//money.rediff.com/companies/A-1-Acid-Ltd/12080099,542012,M
A2Z Infra Engineering Ltd.,//money.rediff.com/companies/A2Z-Infra-Engineering-Ltd/13520357,533292,B
Aadhaar Ventures India Ltd.,//money.rediff.com/companies/Aadhaar-Ventures-India-Ltd/14060464,531611,XT
Aadi Industries Ltd.,//money.rediff.com/companies/Aadi-Industries-Ltd/14060237,530027,Z
Aagam Capital Ltd.,//money.rediff.com/companies/Aagam-Capital-Ltd/14060502,531866,XD
Aananda Lakshmi Spinning Mills Ltd.,//money.rediff.com/companies/Aananda-Lakshmi-Spinning-Mills-Ltd/16030267,539096,XT
Aanchal Ispat Ltd.,//money.rediff.com/companies/Aanchal-Ispat-Ltd/15510501,538812,B
AAR Commercial Company Ltd.,//money.rediff.com/companies/AAR-Commercial-Company-Ltd/17027615,539632,XT
Aar Shyam India Investment Company Ltd.,//money.rediff.com/companies/Aar-Shyam-India-Investment-Company-Ltd/14090664,542377,XT
Aarcon Facilities Ltd.,//money.rediff.com/companies/Aarcon-Facilities-Ltd/14010185,532024,P
Aarey Drugs & Pharmaceuticals Ltd.,//money.rediff.com/companies/Aarey-Drugs-Pharmaceuticals-Ltd/12540084,524412,X
Aarnav Fashions Ltd.,//money.rediff.com/companies/Aarnav-Fashions-Ltd/14094658,539562,XT
Aartech Solonics Ltd.,//money.rediff.com/companies/Aartech-Solonics-Ltd/13150268,542580,M
Aarti Drugs Ltd.,//money.rediff.com/companies/Aarti-Drugs-Ltd/12540082,524348,B
Aarti Industries Ltd.,//money.rediff.com/companies/Aarti-Industries-Ltd/12070021,524208,A
Aarv Infratel Ltd.,//money.rediff.com/companies/Aarv-Infratel-Ltd/17020295,526488,P
Aarvee Denims and Exports Ltd.,//money.rediff.com/companies/Aarvee-Denims-and-Exports-Ltd/16110001,514274,B
Aaswa Trading & Exports Ltd.,//money.rediff.com/companies/Aaswa-Trading-Exports-Ltd/16610134,512038,P
Aavas Financiers Ltd.,//money.rediff.com/companies/Aavas-Financiers-Ltd/14080119,541988,A
Aayush Food & Herbs Ltd.,//money.rediff.com/companies/Aayush-Food-Herbs-Ltd/11290074,539528,X
Abacus Computers Ltd.,//money.rediff.com/companies/Abacus-Computers-Ltd/13010001,508987,Z
Aban Offshore Ltd.,//money.rediff.com/companies/Aban-Offshore-Ltd/15120001,523204,B
ABB India Ltd.,//money.rediff.com/companies/ABB-India-Ltd/13130003,500002,B
Abbott India Ltd.,//money.rediff.com/companies/Abbott-India-Ltd/12540008,500488,A
ABC Bearings Ltd.,//money.rediff.com/companies/ABC-Bearings-Ltd/14510001,505665,X
ABC Gas (International) Ltd.,//money.rediff.com/companies/ABC-Gas-International-Ltd/15100001,513119,XT
ABC India Ltd.,//money.rediff.com/companies/ABC-India-Ltd/16590004,520123,X
ABG Shipyard Ltd.,//money.rediff.com/companies/ABG-Shipyard-Ltd/16680013,532682,Z
Abhijit Trading Company Ltd.,//money.rediff.com/companies/Abhijit-Trading-Company-Ltd/11250632,539560,XT
Abhinav Capital Services Ltd.,//money.rediff.com/companies/Abhinav-Capital-Services-Ltd/11610094,532057,XT
Abhinav Leasing & Finance Ltd.,//money.rediff.com/companies/Abhinav-Leasing-Finance-Ltd/14060608,538952,XT
Abhishek Corporation Ltd.,//money.rediff.com/companies/Abhishek-Corporation-Ltd/17010091,532831,Z
Abhishek Finlease Ltd.,//money.rediff.com/companies/Abhishek-Finlease-Ltd/14060439,538935,XT
Abhishek Infraventures Ltd.,//money.rediff.com/companies/Abhishek-Infraventures-Ltd/14090586,539544,X
Abirami Financial Services (India) Ltd.,//money.rediff.com/companies/Abirami-Financial-Services-India-Ltd/14060200,511756,Z
ABM Knowledgeware Ltd.,//money.rediff.com/companies/ABM-Knowledgeware-Ltd/14010055,531161,X
ACC Ltd.,//money.rediff.com/companies/ACC-Ltd/11510001,500410,A
ACCEL Ltd.,//money.rediff.com/companies/ACCEL-Ltd/13030005,517494,XT
Accelya Solutions India Ltd.,//money.rediff.com/companies/Accelya-Solutions-India-Ltd/13020092,532268,B
Accentia Technologies Ltd.,//money.rediff.com/companies/Accentia-Technologies-Ltd/16560092,531897,Z
ACE Edutrend Ltd.,//money.rediff.com/companies/ACE-Edutrend-Ltd/14090122,530093,Z
Ace Men Engg Works Ltd.,//money.rediff.com/companies/Ace-Men-Engg-Works-Ltd/11250633,539661,XT
ACE Software Exports Ltd.,//money.rediff.com/companies/ACE-Software-Exports-Ltd/13020055,531525,X
Ace Tours Worldwide Ltd.,//money.rediff.com/companies/Ace-Tours-Worldwide-Ltd/17150530,536492,MT
Acewin Agriteck Ltd.,//money.rediff.com/companies/Acewin-Agriteck-Ltd/13192445,539570,M
Achal Investments Ltd.,//money.rediff.com/companies/Achal-Investments-Ltd/14094295,538570,XT
ACI Infocom Ltd.,//money.rediff.com/companies/ACI-Infocom-Ltd/13020013,517356,X
ACIL Cotton Industries Ltd.,//money.rediff.com/companies/ACIL-Cotton-Industries-Ltd/16030126,530901,Z
Acknit Industries Ltd.,//money.rediff.com/companies/Acknit-Industries-Ltd/16080019,530043,X
Acme Resources Ltd.,//money.rediff.com/companies/Acme-Resources-Ltd/10990003,539391,X
Acropetal Technologies Ltd.,//money.rediff.com/companies/Acropetal-Technologies-Ltd/13191577,533330,Z
Acrow India Ltd.,//money.rediff.com/companies/Acrow-India-Ltd/11600001,513149,X
Acrysil Ltd.,//money.rediff.com/companies/Acrysil-Ltd/12200001,524091,X
Action Construction Equipment Ltd.,//money.rediff.com/companies/Action-Construction-Equipment-Ltd/13510065,532762,B
Action Financial Services (India) Ltd.,//money.rediff.com/companies/Action-Financial-Services-India-Ltd/14090108,511706,X
Active Clothing Co Ltd.,//money.rediff.com/companies/Active-Clothing-Co-Ltd/16490973,541144,M
Ad-Manum Finance Ltd.,//money.rediff.com/companies/Ad-Manum-Finance-Ltd/14060105,511359,X
Adani Enterprises Ltd.,//money.rediff.com/companies/Adani-Enterprises-Ltd/16610041,512599,A
Adani Gas Ltd.,//money.rediff.com/companies/Adani-Gas-Ltd/17027894,542066,A
Adani Green Energy Ltd.,//money.rediff.com/companies/Adani-Green-Energy-Ltd/15130762,541450,A
Adani Ports & Special Economic Zone Ltd.,//money.rediff.com/companies/Adani-Ports-Special-Economic-Zone-Ltd/17025086,532921,A
Adani Power Ltd.,//money.rediff.com/companies/Adani-Power-Ltd/16610491,533096,A
Adani Transmission Ltd.,//money.rediff.com/companies/Adani-Transmission-Ltd/17152581,539254,A
Adarsh Mercantile Ltd.,//money.rediff.com/companies/Adarsh-Mercantile-Ltd/11250449,538563,XT
Adarsh Plant Protect Ltd.,//money.rediff.com/companies/Adarsh-Plant-Protect-Ltd/17020282,526711,XT
ADC India Communications Ltd.,//money.rediff.com/companies/ADC-India-Communications-Ltd/15140012,523411,X
Adcon Capital Services Ltd.,//money.rediff.com/companies/Adcon-Capital-Services-Ltd/14060186,539506,XT
Add-Shop Promotions Ltd.,//money.rediff.com/companies/Add-Shop-Promotions-Ltd/17154037,541865,M
Addi Industries Ltd.,//money.rediff.com/companies/Addi-Industries-Ltd/16080001,507852,X
ADF Foods Ltd.,//money.rediff.com/companies/ADF-Foods-Ltd/11050075,519183,B
Adharshila Capital Services Ltd.,//money.rediff.com/companies/Adharshila-Capital-Services-Ltd/14010206,539493,XT
Adhbhut Infrastructure Ltd.,//money.rediff.com/companies/Adhbhut-Infrastructure-Ltd/17024119,539189,XT
Adhiraj Distributors Ltd.,//money.rediff.com/companies/Adhiraj-Distributors-Ltd/11250503,780018,IP
Adhunik Industries Ltd.,//money.rediff.com/companies/Adhunik-Industries-Ltd/15510266,538365,B
Adhunik Metaliks Ltd.,//money.rediff.com/companies/Adhunik-Metaliks-Ltd/15560016,532727,Z
Adinath Bio-Labs Ltd.,//money.rediff.com/companies/Adinath-Bio-Labs-Ltd/13190194,590088,XT
Adinath Exim Resources Ltd.,//money.rediff.com/companies/Adinath-Exim-Resources-Ltd/16610076,532056,XT
Adinath Textiles Ltd.,//money.rediff.com/companies/Adinath-Textiles-Ltd/16040001,514113,XT
Aditri Industries Ltd.,//money.rediff.com/companies/Aditri-Industries-Ltd/16070128,534707,B
Aditya Birla Capital Ltd.,//money.rediff.com/companies/Aditya-Birla-Capital-Ltd/14094863,540691,A
Aditya Birla Fashion and Retail Ltd.,//money.rediff.com/companies/Aditya-Birla-Fashion-and-Retail-Ltd/10770005,535755,A
Aditya Birla Money Ltd.,//money.rediff.com/companies/Aditya-Birla-Money-Ltd/14010479,532974,B
Aditya Birla Nuvo Ltd.(Amalgamated),//money.rediff.com/companies/Aditya-Birla-Nuvo-Ltd-Amalgamated/17010009,500303,A
Aditya Consumer Marketing Ltd.,//money.rediff.com/companies/Aditya-Consumer-Marketing-Ltd/10760026,540146,M
Aditya Forge Ltd.,//money.rediff.com/companies/Aditya-Forge-Ltd/13560031,522150,Z
Aditya Ispat Ltd.,//money.rediff.com/companies/Aditya-Ispat-Ltd/15520032,513513,X
Aditya Spinners Ltd.,//money.rediff.com/companies/Aditya-Spinners-Ltd/16030035,521141,XT

table2
Company,link,code,group
Aditya Vision Ltd.,//money.rediff.com/companies/Aditya-Vision-Ltd/10740002,540205,M
Adlabs Entertainment Ltd.,//money.rediff.com/companies/Adlabs-Entertainment-Ltd/17040842,539056,T
Ador Fontech Ltd.,//money.rediff.com/companies/Ador-Fontech-Ltd/13590002,530431,X
Ador Multiproducts Ltd.,//money.rediff.com/companies/Ador-Multiproducts-Ltd/12520015,523120,X
