"","Jun 2018","Sep 2018","Mar 2019","Jun 2019","Sep 2019",
"Sales","13,343","13,276","14,375","14,596","15,530",
"Expenses","997","286","693","610","1,760",
"Operating Profit","12,346","12,990","13,682","13,986","13,770",
"OPM %","93%","98%","95%","96%","89%",
"Other Income","4","18","48","20","8",
"Interest","8,159","8,450","9,140","9,938","10,153",
"Depreciation","3","3","4","5","6",
"Profit before tax","4,187","4,554","4,585","4,063","3,620",
"Tax %","32%","45%","26%","29%","31%",
"Net Profit","2,167","1,688","2,802","2,185","1,871",
"EPS in Rs","8.21","6.39","10.61","8.28","7.08",
"","Notes","Notes","Notes","Notes","Notes",
